epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.114,1.79336,2.49376,1.54893,0.41035,0.35384,0.33914,0.1927,1.77152,2.19172,1.5804,0.000474941,0.000474941,0.000474941
2,204.641,1.7084,2.0135,1.47299,0.43645,0.38414,0.35587,0.19628,1.74958,2.05936,1.54821,0.000932439,0.000932439,0.000932439
3,239.977,1.68337,1.93146,1.47098,0.51105,0.43319,0.43209,0.24348,1.70857,1.80616,1.48898,0.00137107,0.00137107,0.00137107
4,272.414,1.65921,1.83343,1.46016,0.5246,0.43188,0.44315,0.25386,1.67182,1.80855,1.52897,0.00134412,0.00134412,0.00134412
5,304.529,1.61443,1.73626,1.42868,0.51221,0.46507,0.46871,0.27409,1.63806,1.77253,1.45996,0.00131582,0.00131582,0.00131582
6,337,1.57944,1.67017,1.41228,0.6491,0.44587,0.51728,0.30926,1.61456,1.68441,1.45946,0.00128753,0.00128753,0.00128753
7,369.612,1.54874,1.61235,1.38835,0.56323,0.46166,0.48995,0.29837,1.59916,1.68495,1.45212,0.00125923,0.00125923,0.00125923
8,400.854,1.51735,1.57658,1.37352,0.57344,0.49016,0.50818,0.30875,1.58731,1.59946,1.44532,0.00123094,0.00123094,0.00123094
9,432.096,1.50944,1.5156,1.35929,0.60921,0.48568,0.52916,0.31561,1.57553,1.59519,1.42152,0.00120265,0.00120265,0.00120265
10,464.291,1.47345,1.48493,1.336,0.56018,0.4894,0.49579,0.30281,1.58437,1.59701,1.41927,0.00117435,0.00117435,0.00117435
11,496.449,1.45118,1.43712,1.31762,0.59454,0.46444,0.4962,0.29967,1.55846,1.65493,1.40614,0.00114606,0.00114606,0.00114606
12,528.284,1.42811,1.39665,1.29976,0.63041,0.50009,0.55255,0.34222,1.54529,1.50016,1.41385,0.00111776,0.00111776,0.00111776
13,560.068,1.4275,1.3866,1.3082,0.68327,0.50134,0.56693,0.35115,1.54588,1.48003,1.40286,0.00108947,0.00108947,0.00108947
14,592.106,1.39426,1.32677,1.28658,0.6432,0.47455,0.52293,0.31057,1.56525,1.59418,1.415,0.00106118,0.00106118,0.00106118
15,623.556,1.37665,1.31369,1.28355,0.61465,0.52235,0.55767,0.34308,1.54906,1.48706,1.39901,0.00103288,0.00103288,0.00103288
16,655.689,1.36214,1.27612,1.26726,0.57222,0.50127,0.51326,0.31878,1.54023,1.56985,1.40808,0.00100459,0.00100459,0.00100459
17,687.017,1.3415,1.24092,1.25405,0.60051,0.50445,0.52943,0.32706,1.51921,1.50499,1.40907,0.000976293,0.000976293,0.000976293
18,718.433,1.33522,1.22298,1.24324,0.59588,0.48885,0.53436,0.33399,1.53212,1.54936,1.39837,0.000947999,0.000947999,0.000947999
19,751.205,1.31734,1.22183,1.23959,0.6139,0.52757,0.5473,0.34218,1.54197,1.53753,1.39717,0.000919704,0.000919704,0.000919704
